Enc(Paillier): 0.388	Enc(EC ElGamal): 0.018	Enc(OPE): 29.043	Enc(ORE): 0.641
Dec(Paillier): 0.154	Dec(EC ElGamal): 0.013	Dec(OPE): 0.026	Dec(ORE): 0.004
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.011	Operation(OPE): 0.000	Operation(ORE): 0.004
Enc(Paillier): 0.376	Enc(EC ElGamal): 0.009	Enc(OPE): 8.126	Enc(ORE): 0.003
Dec(Paillier): 0.152	Dec(EC ElGamal): 0.009	Dec(OPE): 0.011	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.377	Enc(EC ElGamal): 0.009	Enc(OPE): 5.855	Enc(ORE): 0.003
Dec(Paillier): 0.137	Dec(EC ElGamal): 0.011	Dec(OPE): 0.006	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.348	Enc(EC ElGamal): 0.008	Enc(OPE): 4.825	Enc(ORE): 0.003
Dec(Paillier): 0.141	Dec(EC ElGamal): 0.009	Dec(OPE): 0.005	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.333	Enc(EC ElGamal): 0.009	Enc(OPE): 5.907	Enc(ORE): 0.003
Dec(Paillier): 0.131	Dec(EC ElGamal): 0.009	Dec(OPE): 0.004	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.319	Enc(EC ElGamal): 0.008	Enc(OPE): 5.706	Enc(ORE): 0.003
Dec(Paillier): 0.133	Dec(EC ElGamal): 0.008	Dec(OPE): 0.004	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.324	Enc(EC ElGamal): 0.008	Enc(OPE): 5.899	Enc(ORE): 0.003
Dec(Paillier): 0.147	Dec(EC ElGamal): 0.012	Dec(OPE): 0.004	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.351	Enc(EC ElGamal): 0.009	Enc(OPE): 5.488	Enc(ORE): 0.003
Dec(Paillier): 0.147	Dec(EC ElGamal): 0.010	Dec(OPE): 0.004	Dec(ORE): 0.036
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.349	Enc(EC ElGamal): 0.009	Enc(OPE): 6.498	Enc(ORE): 0.003
Dec(Paillier): 0.141	Dec(EC ElGamal): 0.010	Dec(OPE): 0.006	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.381	Enc(EC ElGamal): 0.010	Enc(OPE): 6.629	Enc(ORE): 0.003
Dec(Paillier): 0.142	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.373	Enc(EC ElGamal): 0.011	Enc(OPE): 7.109	Enc(ORE): 0.002
Dec(Paillier): 0.181	Dec(EC ElGamal): 0.010	Dec(OPE): 0.004	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.397	Enc(EC ElGamal): 0.016	Enc(OPE): 7.913	Enc(ORE): 0.002
Dec(Paillier): 0.154	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.358	Enc(EC ElGamal): 0.009	Enc(OPE): 5.931	Enc(ORE): 0.003
Dec(Paillier): 0.163	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.452	Enc(EC ElGamal): 0.009	Enc(OPE): 5.908	Enc(ORE): 0.002
Dec(Paillier): 0.162	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
