Data Store	Retrieval & Decryption	Sum computation	Total
Experiment number #0
S3	158.0	0.0	158.0
S3	108.0	0.0	108.0
S3	95.0	0.0	95.0
S3	158.0	0.0	158.0
S3	161.0	0.0	161.0
S3	182.0	0.0	182.0
S3	220.0	0.0	220.0
S3	244.0	0.0	244.0
S3	301.0	0.0	301.0
S3	307.0	0.0	307.0
S3	359.0	0.0	359.0
S3	400.0	0.0	400.0
S3	397.0	0.0	397.0
S3	870.0	0.0	870.0
S3	454.0	0.0	454.0
S3	488.0	0.0	488.0
S3	567.0	1.0	568.0
S3	554.0	1.0	555.0
S3	578.0	1.0	579.0
S3	769.0	1.0	770.0
S3	665.0	1.0	666.0
S3	671.0	1.0	672.0
S3	693.0	1.0	694.0
S3	776.0	1.0	777.0
S3	888.0	1.0	889.0
S3	902.0	1.0	903.0
S3	858.0	1.0	859.0
S3	984.0	1.0	985.0
S3	897.0	1.0	898.0
S3	941.0	1.0	942.0
S3	1128.0	2.0	1130.0
S3	1152.0	1.0	1153.0
S3	1003.0	1.0	1004.0
S3	1030.0	1.0	1031.0
S3	1257.0	1.0	1258.0
S3	1115.0	1.0	1116.0
S3	1434.0	1.0	1435.0
S3	1189.0	2.0	1191.0
S3	1318.0	2.0	1320.0
S3	1389.0	2.0	1391.0
S3	1242.0	2.0	1244.0
S3	1505.0	2.0	1507.0
S3	1385.0	2.0	1387.0
S3	1382.0	2.0	1384.0
S3	1530.0	2.0	1532.0
S3	1439.0	5.0	1444.0
S3	1671.0	2.0	1673.0
S3	1551.0	2.0	1553.0
S3	1622.0	3.0	1625.0
S3	1521.0	2.0	1523.0
S3	1627.0	2.0	1629.0
S3	1685.0	3.0	1688.0
S3	2559.0	2.0	2561.0
S3	1640.0	3.0	1643.0
S3	1783.0	3.0	1786.0
S3	1679.0	2.0	1681.0
S3	1874.0	2.0	1876.0
S3	1835.0	3.0	1838.0
S3	1726.0	3.0	1729.0
S3	1901.0	4.0	1905.0
S3	1884.0	3.0	1887.0
S3	2021.0	3.0	2024.0
S3	2169.0	3.0	2172.0
S3	1916.0	3.0	1919.0
S3	2080.0	3.0	2083.0
S3	2104.0	3.0	2107.0
S3	1968.0	3.0	1971.0
S3	2099.0	3.0	2102.0
S3	3076.0	3.0	3079.0
S3	2022.0	4.0	2026.0
S3	2629.0	3.0	2632.0
S3	2268.0	4.0	2272.0
S3	2282.0	4.0	2286.0
S3	2175.0	4.0	2179.0
S3	2356.0	4.0	2360.0
S3	2368.0	4.0	2372.0
S3	2348.0	4.0	2352.0
S3	2330.0	4.0	2334.0
S3	2503.0	4.0	2507.0
S3	2488.0	5.0	2493.0
S3	2701.0	4.0	2705.0
S3	2633.0	4.0	2637.0
S3	2599.0	4.0	2603.0
S3	3037.0	4.0	3041.0
S3	2724.0	4.0	2728.0
S3	2738.0	3.0	2741.0
S3	2707.0	4.0	2711.0
S3	2880.0	3.0	2883.0
S3	2767.0	5.0	2772.0
S3	2745.0	4.0	2749.0
S3	2953.0	5.0	2958.0
S3	2953.0	4.0	2957.0
S3	3898.0	5.0	3903.0
S3	3220.0	4.0	3224.0
S3	3087.0	4.0	3091.0
S3	3045.0	4.0	3049.0
S3	3063.0	5.0	3068.0
S3	3063.0	5.0	3068.0
S3	3154.0	5.0	3159.0
S3	3221.0	5.0	3226.0
S3	3286.0	5.0	3291.0
S3	3176.0	5.0	3181.0
S3	3160.0	5.0	3165.0
S3	3198.0	5.0	3203.0
S3	4935.0	5.0	4940.0
S3	3180.0	5.0	3185.0
S3	3261.0	9.0	3270.0
S3	3284.0	5.0	3289.0
S3	3344.0	5.0	3349.0
S3	3523.0	7.0	3530.0
S3	3382.0	7.0	3389.0
S3	3357.0	5.0	3362.0
S3	3482.0	7.0	3489.0
S3	5012.0	5.0	5017.0
S3	3441.0	6.0	3447.0
S3	3472.0	9.0	3481.0
S3	3808.0	6.0	3814.0
S3	3537.0	5.0	3542.0
S3	3607.0	6.0	3613.0
S3	3693.0	6.0	3699.0
S3	4836.0	5.0	4841.0
S3	3767.0	5.0	3772.0
S3	3718.0	6.0	3724.0
S3	3810.0	7.0	3817.0
S3	3712.0	8.0	3720.0
S3	3930.0	7.0	3937.0
S3	4156.0	7.0	4163.0
S3	3948.0	6.0	3954.0
S3	5604.0	7.0	5611.0
S3	5660.0	7.0	5667.0
S3	4010.0	6.0	4016.0
S3	4004.0	6.0	4010.0
S3	4196.0	6.0	4202.0
S3	4125.0	7.0	4132.0
S3	4196.0	7.0	4203.0
S3	4320.0	7.0	4327.0
S3	4184.0	7.0	4191.0
S3	4314.0	7.0	4321.0
S3	4366.0	7.0	4373.0
S3	4262.0	8.0	4270.0
S3	4808.0	7.0	4815.0
S3	4912.0	9.0	4921.0
S3	4289.0	7.0	4296.0
S3	5122.0	8.0	5130.0
S3	4230.0	7.0	4237.0
S3	4388.0	8.0	4396.0
S3	4325.0	8.0	4333.0
S3	4690.0	7.0	4697.0
S3	4636.0	8.0	4644.0
S3	4592.0	9.0	4601.0
S3	5510.0	22.0	5532.0
S3	4722.0	29.0	4751.0
S3	4527.0	9.0	4536.0
S3	4882.0	7.0	4889.0
S3	5003.0	8.0	5011.0
S3	4968.0	9.0	4977.0
S3	4886.0	8.0	4894.0
S3	4988.0	8.0	4996.0
S3	4821.0	36.0	4857.0
S3	4993.0	24.0	5017.0
S3	4989.0	7.0	4996.0
S3	4943.0	12.0	4955.0
S3	6537.0	32.0	6569.0
S3	4969.0	8.0	4977.0
S3	4993.0	11.0	5004.0
S3	4995.0	8.0	5003.0
S3	5069.0	8.0	5077.0
S3	5818.0	9.0	5827.0
S3	5091.0	9.0	5100.0
S3	5689.0	8.0	5697.0
S3	5250.0	9.0	5259.0
S3	5249.0	8.0	5257.0
S3	6860.0	9.0	6869.0
S3	5517.0	10.0	5527.0
S3	5456.0	10.0	5466.0
S3	5909.0	8.0	5917.0
S3	5626.0	10.0	5636.0
S3	5471.0	10.0	5481.0
S3	5754.0	8.0	5762.0
S3	6383.0	9.0	6392.0
S3	5734.0	9.0	5743.0
S3	5789.0	8.0	5797.0
S3	5841.0	14.0	5855.0
S3	5896.0	9.0	5905.0
S3	5501.0	8.0	5509.0
S3	5763.0	46.0	5809.0
S3	5876.0	11.0	5887.0
S3	5748.0	10.0	5758.0
S3	5696.0	11.0	5707.0
S3	6205.0	11.0	6216.0
S3	6107.0	10.0	6117.0
S3	6339.0	9.0	6348.0
S3	6207.0	9.0	6216.0
S3	5932.0	12.0	5944.0
S3	7622.0	10.0	7632.0
S3	5986.0	10.0	5996.0
S3	6091.0	25.0	6116.0
S3	6066.0	16.0	6082.0
S3	6679.0	10.0	6689.0
S3	6397.0	10.0	6407.0
S3	6366.0	12.0	6378.0
S3	6433.0	13.0	6446.0
S3	6353.0	14.0	6367.0
S3	6291.0	9.0	6300.0
S3	6384.0	10.0	6394.0
S3	6274.0	9.0	6283.0
S3	6333.0	11.0	6344.0
S3	7067.0	10.0	7077.0
S3	6435.0	11.0	6446.0
S3	6815.0	34.0	6849.0
S3	6697.0	10.0	6707.0
S3	6641.0	12.0	6653.0
S3	6673.0	11.0	6684.0
S3	6870.0	10.0	6880.0
S3	6585.0	11.0	6596.0
S3	6733.0	13.0	6746.0
S3	6735.0	11.0	6746.0
S3	6840.0	14.0	6854.0
S3	7365.0	11.0	7376.0
S3	8632.0	10.0	8642.0
S3	6705.0	12.0	6717.0
S3	6793.0	10.0	6803.0
S3	7201.0	11.0	7212.0
S3	6915.0	11.0	6926.0
S3	6949.0	13.0	6962.0
S3	7158.0	12.0	7170.0
S3	7078.0	11.0	7089.0
S3	7474.0	10.0	7484.0
S3	7105.0	11.0	7116.0
S3	7535.0	12.0	7547.0
S3	7222.0	12.0	7234.0
S3	8205.0	12.0	8217.0
S3	7001.0	11.0	7012.0
S3	7162.0	13.0	7175.0
S3	7445.0	12.0	7457.0
S3	8203.0	11.0	8214.0
S3	7122.0	12.0	7134.0
S3	7036.0	11.0	7047.0
S3	7089.0	11.0	7100.0
S3	8075.0	11.0	8086.0
S3	7401.0	13.0	7414.0
S3	7579.0	11.0	7590.0
S3	7239.0	12.0	7251.0
S3	7525.0	15.0	7540.0
S3	8635.0	14.0	8649.0
S3	10477.0	12.0	10489.0
S3	8788.0	13.0	8801.0
S3	8767.0	11.0	8778.0
S3	7667.0	12.0	7679.0
S3	7613.0	12.0	7625.0
S3	7665.0	12.0	7677.0
S3	7514.0	12.0	7526.0
S3	8241.0	12.0	8253.0
S3	8712.0	12.0	8724.0
S3	8032.0	13.0	8045.0
S3	7733.0	12.0	7745.0
S3	8560.0	13.0	8573.0
S3	8289.0	12.0	8301.0
S3	8399.0	12.0	8411.0
S3	8624.0	13.0	8637.0
S3	7858.0	12.0	7870.0
S3	8764.0	13.0	8777.0
S3	8931.0	15.0	8946.0
S3	8106.0	12.0	8118.0
S3	9097.0	12.0	9109.0
S3	8619.0	13.0	8632.0
S3	8300.0	11.0	8311.0
S3	8517.0	13.0	8530.0
S3	8190.0	14.0	8204.0
S3	10223.0	14.0	10237.0
S3	9157.0	17.0	9174.0
S3	10020.0	13.0	10033.0
S3	8657.0	13.0	8670.0
S3	8797.0	12.0	8809.0
S3	9808.0	14.0	9822.0
S3	8929.0	14.0	8943.0
S3	9017.0	14.0	9031.0
S3	8620.0	13.0	8633.0
S3	9471.0	13.0	9484.0
S3	8577.0	17.0	8594.0
S3	8508.0	13.0	8521.0
S3	8732.0	13.0	8745.0
S3	9864.0	14.0	9878.0
S3	8627.0	16.0	8643.0
S3	10035.0	13.0	10048.0
S3	8428.0	14.0	8442.0
S3	9624.0	13.0	9637.0
S3	8462.0	16.0	8478.0
S3	9557.0	13.0	9570.0
S3	9057.0	13.0	9070.0
S3	9640.0	13.0	9653.0
S3	9181.0	15.0	9196.0
S3	8661.0	14.0	8675.0
S3	8965.0	14.0	8979.0
S3	9210.0	16.0	9226.0
S3	9877.0	12.0	9889.0
S3	9375.0	14.0	9389.0
S3	9034.0	14.0	9048.0
S3	9212.0	15.0	9227.0
S3	9055.0	16.0	9071.0
S3	9528.0	13.0	9541.0
S3	11249.0	16.0	11265.0
S3	9450.0	15.0	9465.0
S3	9334.0	12.0	9346.0
