13:25:18.723 [main] DEBUG o.s.nativelib.NativeLibraryUtil - processor is INTEL_64 os.arch is amd64
13:25:18.725 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:25:18.727 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:25:18.727 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
13:25:18.727 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libecelgamal-jni-wrapper.so
13:25:18.727 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
13:25:18.727 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
13:25:18.728 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so' to '/tmp/libecelgamal-jni-wrapper7779786365047341241.so'
13:25:19.232 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:25:19.232 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:25:19.232 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
13:25:19.232 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libore-jni-wrapper.so
13:25:19.232 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
13:25:19.232 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
13:25:19.232 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so' to '/tmp/libore-jni-wrapper4612890005341029577.so'
Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** S3 SUM ***
S3	29.00	22.00	0.00	51.00
S3	38.00	27.00	0.00	65.00
S3	31.00	9.00	0.00	40.00
S3	40.00	13.00	0.00	53.00
S3	63.00	16.00	0.00	79.00
S3	71.00	29.00	0.00	100.00
S3	94.00	16.00	0.00	110.00
S3	92.00	29.00	0.00	121.00
S3	99.00	18.00	0.00	117.00
S3	118.00	17.00	0.00	135.00
S3	118.00	17.00	0.00	135.00
S3	135.00	19.00	0.00	154.00
S3	133.00	24.00	0.00	157.00
S3	133.00	40.00	0.00	173.00
S3	170.00	24.00	0.00	194.00
S3	169.00	22.00	0.00	191.00
S3	154.00	24.00	0.00	178.00
S3	175.00	32.00	0.00	207.00
S3	200.00	52.00	0.00	252.00
S3	198.00	27.00	0.00	225.00
S3	250.00	29.00	0.00	279.00
S3	200.00	31.00	0.00	231.00
S3	273.00	34.00	1.00	308.00
S3	544.00	35.00	1.00	580.00
S3	223.00	34.00	1.00	258.00
S3	273.00	34.00	1.00	308.00
S3	242.00	36.00	1.00	279.00
S3	238.00	40.00	1.00	279.00
S3	336.00	38.00	1.00	375.00
S3	318.00	39.00	1.00	358.00
S3	285.00	40.00	1.00	326.00
S3	314.00	50.00	1.00	365.00
S3	310.00	43.00	1.00	354.00
S3	296.00	44.00	1.00	341.00
S3	365.00	46.00	1.00	412.00
S3	310.00	47.00	1.00	358.00
S3	327.00	58.00	2.00	387.00
S3	388.00	49.00	1.00	438.00
S3	343.00	51.00	2.00	396.00
S3	416.00	51.00	2.00	469.00
S3	358.00	65.00	2.00	425.00
S3	364.00	56.00	2.00	422.00
S3	391.00	94.00	2.00	487.00
S3	379.00	59.00	2.00	440.00
S3	471.00	64.00	2.00	537.00
S3	406.00	65.00	4.00	475.00
S3	458.00	58.00	2.00	518.00
S3	430.00	60.00	2.00	492.00
S3	580.00	60.00	2.00	642.00
S3	462.00	63.00	2.00	527.00
S3	433.00	89.00	2.00	524.00
S3	468.00	129.00	1.00	598.00
S3	475.00	102.00	19.00	596.00
S3	473.00	67.00	3.00	543.00
S3	457.00	90.00	3.00	550.00
S3	516.00	69.00	3.00	588.00
S3	456.00	144.00	2.00	602.00
S3	515.00	80.00	11.00	606.00
S3	491.00	74.00	3.00	568.00
S3	583.00	74.00	3.00	660.00
S3	523.00	75.00	3.00	601.00
S3	761.00	77.00	3.00	841.00
S3	588.00	79.00	3.00	670.00
S3	552.00	77.00	3.00	632.00
S3	544.00	78.00	3.00	625.00
S3	638.00	80.00	3.00	721.00
S3	603.00	82.00	3.00	688.00
S3	592.00	83.00	3.00	678.00
S3	635.00	84.00	4.00	723.00
S3	572.00	86.00	4.00	662.00
S3	634.00	87.00	4.00	725.00
S3	615.00	93.00	4.00	712.00
S3	640.00	90.00	15.00	745.00
S3	672.00	90.00	17.00	779.00
S3	598.00	92.00	15.00	705.00
S3	643.00	105.00	4.00	752.00
S3	797.00	104.00	4.00	905.00
S3	809.00	105.00	4.00	918.00
S3	838.00	119.00	3.00	960.00
S3	992.00	108.00	4.00	1104.00
S3	757.00	114.00	2.00	873.00
S3	728.00	136.00	3.00	867.00
