Data Store	Retrieval & Decryption	Sum computation	Total
Experiment number #0
S3	67.0	0.0	67.0
S3	91.0	1.0	92.0
S3	98.0	0.0	98.0
S3	128.0	1.0	129.0
S3	161.0	1.0	162.0
S3	194.0	1.0	195.0
S3	218.0	1.0	219.0
S3	252.0	2.0	254.0
S3	281.0	2.0	283.0
S3	308.0	2.0	310.0
S3	342.0	1.0	343.0
S3	362.0	0.0	362.0
S3	503.0	1.0	504.0
S3	442.0	1.0	443.0
S3	448.0	1.0	449.0
S3	561.0	0.0	561.0
S3	532.0	1.0	533.0
S3	566.0	0.0	566.0
S3	666.0	0.0	666.0
S3	597.0	1.0	598.0
S3	641.0	1.0	642.0
S3	667.0	1.0	668.0
S3	739.0	1.0	740.0
S3	825.0	1.0	826.0
S3	741.0	1.0	742.0
S3	795.0	1.0	796.0
S3	1285.0	1.0	1286.0
S3	872.0	1.0	873.0
S3	875.0	1.0	876.0
S3	872.0	2.0	874.0
S3	1059.0	1.0	1060.0
S3	962.0	2.0	964.0
S3	953.0	2.0	955.0
S3	1128.0	2.0	1130.0
S3	1018.0	1.0	1019.0
S3	1512.0	2.0	1514.0
S3	1106.0	2.0	1108.0
S3	1140.0	2.0	1142.0
S3	1270.0	2.0	1272.0
S3	1237.0	1.0	1238.0
S3	1354.0	2.0	1356.0
S3	1289.0	2.0	1291.0
S3	1276.0	2.0	1278.0
S3	1448.0	2.0	1450.0
S3	1308.0	2.0	1310.0
S3	1454.0	2.0	1456.0
S3	1352.0	3.0	1355.0
S3	1598.0	2.0	1600.0
S3	1427.0	3.0	1430.0
S3	1594.0	2.0	1596.0
S3	1559.0	2.0	1561.0
S3	1699.0	2.0	1701.0
S3	1541.0	2.0	1543.0
S3	1781.0	2.0	1783.0
S3	1625.0	3.0	1628.0
S3	1804.0	3.0	1807.0
S3	1775.0	3.0	1778.0
S3	1745.0	3.0	1748.0
S3	1948.0	3.0	1951.0
S3	1855.0	4.0	1859.0
S3	1923.0	3.0	1926.0
S3	1928.0	3.0	1931.0
S3	2016.0	3.0	2019.0
S3	1975.0	3.0	1978.0
S3	2055.0	2.0	2057.0
S3	1944.0	4.0	1948.0
S3	2173.0	3.0	2176.0
S3	2146.0	3.0	2149.0
S3	2057.0	3.0	2060.0
S3	2174.0	3.0	2177.0
S3	2331.0	3.0	2334.0
S3	2159.0	3.0	2162.0
S3	2212.0	3.0	2215.0
S3	2337.0	4.0	2341.0
S3	2399.0	4.0	2403.0
S3	3144.0	4.0	3148.0
S3	2327.0	4.0	2331.0
S3	2400.0	4.0	2404.0
S3	2406.0	4.0	2410.0
S3	2524.0	4.0	2528.0
S3	2522.0	4.0	2526.0
S3	2515.0	4.0	2519.0
S3	2675.0	5.0	2680.0
S3	2760.0	4.0	2764.0
S3	2790.0	4.0	2794.0
S3	3422.0	4.0	3426.0
S3	2766.0	4.0	2770.0
S3	2797.0	4.0	2801.0
S3	2835.0	4.0	2839.0
S3	2915.0	5.0	2920.0
S3	2979.0	5.0	2984.0
S3	3329.0	6.0	3335.0
S3	2789.0	5.0	2794.0
S3	2944.0	5.0	2949.0
S3	2872.0	5.0	2877.0
S3	3036.0	5.0	3041.0
S3	2960.0	5.0	2965.0
S3	3062.0	5.0	3067.0
S3	3233.0	5.0	3238.0
S3	3040.0	5.0	3045.0
S3	3126.0	6.0	3132.0
S3	3392.0	5.0	3397.0
S3	3501.0	5.0	3506.0
S3	3217.0	5.0	3222.0
S3	3242.0	5.0	3247.0
S3	3368.0	5.0	3373.0
S3	3616.0	5.0	3621.0
S3	3295.0	6.0	3301.0
S3	3641.0	7.0	3648.0
S3	3320.0	5.0	3325.0
S3	3459.0	6.0	3465.0
S3	3531.0	6.0	3537.0
S3	3504.0	5.0	3509.0
S3	3684.0	5.0	3689.0
S3	3624.0	6.0	3630.0
S3	3782.0	6.0	3788.0
S3	4478.0	6.0	4484.0
S3	4496.0	7.0	4503.0
S3	3753.0	6.0	3759.0
S3	4890.0	6.0	4896.0
S3	3736.0	6.0	3742.0
S3	3804.0	6.0	3810.0
S3	3856.0	6.0	3862.0
S3	3729.0	6.0	3735.0
S3	3793.0	8.0	3801.0
S3	4365.0	7.0	4372.0
S3	3844.0	8.0	3852.0
S3	4008.0	7.0	4015.0
S3	4366.0	7.0	4373.0
S3	4141.0	7.0	4148.0
S3	4182.0	10.0	4192.0
S3	4188.0	6.0	4194.0
S3	4857.0	6.0	4863.0
S3	4294.0	7.0	4301.0
S3	4411.0	44.0	4455.0
S3	4290.0	7.0	4297.0
S3	5101.0	6.0	5107.0
S3	4493.0	7.0	4500.0
S3	4269.0	8.0	4277.0
S3	4490.0	7.0	4497.0
S3	4376.0	7.0	4383.0
S3	4320.0	7.0	4327.0
S3	4504.0	7.0	4511.0
S3	4353.0	7.0	4360.0
S3	4536.0	7.0	4543.0
S3	4432.0	7.0	4439.0
S3	4713.0	7.0	4720.0
S3	4694.0	8.0	4702.0
S3	4953.0	8.0	4961.0
S3	4839.0	8.0	4847.0
S3	4901.0	8.0	4909.0
S3	4694.0	8.0	4702.0
S3	4869.0	8.0	4877.0
S3	4773.0	7.0	4780.0
S3	4876.0	9.0	4885.0
S3	5003.0	7.0	5010.0
S3	4745.0	8.0	4753.0
S3	4918.0	8.0	4926.0
S3	4787.0	8.0	4795.0
S3	4994.0	8.0	5002.0
S3	4957.0	8.0	4965.0
S3	5114.0	10.0	5124.0
S3	5025.0	8.0	5033.0
S3	5149.0	8.0	5157.0
S3	5107.0	8.0	5115.0
S3	5117.0	8.0	5125.0
S3	5036.0	9.0	5045.0
S3	5676.0	11.0	5687.0
S3	5411.0	8.0	5419.0
S3	5354.0	8.0	5362.0
S3	5535.0	8.0	5543.0
S3	6170.0	10.0	6180.0
S3	5599.0	8.0	5607.0
S3	5149.0	10.0	5159.0
S3	5579.0	9.0	5588.0
S3	5434.0	9.0	5443.0
S3	5513.0	9.0	5522.0
S3	5463.0	9.0	5472.0
S3	5562.0	11.0	5573.0
S3	5731.0	9.0	5740.0
S3	6121.0	9.0	6130.0
S3	6188.0	11.0	6199.0
S3	5787.0	9.0	5796.0
S3	6466.0	9.0	6475.0
S3	5721.0	9.0	5730.0
S3	6069.0	19.0	6088.0
S3	6248.0	48.0	6296.0
S3	6234.0	10.0	6244.0
S3	6253.0	11.0	6264.0
S3	5954.0	12.0	5966.0
S3	6730.0	10.0	6740.0
S3	6688.0	24.0	6712.0
S3	6285.0	9.0	6294.0
S3	6023.0	10.0	6033.0
S3	5958.0	12.0	5970.0
S3	6149.0	16.0	6165.0
S3	6032.0	9.0	6041.0
S3	6251.0	10.0	6261.0
S3	6743.0	13.0	6756.0
S3	6670.0	10.0	6680.0
S3	6990.0	11.0	7001.0
S3	6300.0	10.0	6310.0
S3	7312.0	27.0	7339.0
S3	6429.0	11.0	6440.0
S3	6315.0	10.0	6325.0
S3	6856.0	29.0	6885.0
S3	6294.0	14.0	6308.0
S3	6572.0	10.0	6582.0
S3	6483.0	11.0	6494.0
S3	7560.0	31.0	7591.0
S3	6623.0	21.0	6644.0
S3	6838.0	13.0	6851.0
S3	6613.0	11.0	6624.0
S3	6692.0	11.0	6703.0
S3	6887.0	16.0	6903.0
S3	6870.0	11.0	6881.0
S3	6667.0	11.0	6678.0
S3	7440.0	11.0	7451.0
S3	7193.0	14.0	7207.0
S3	6937.0	14.0	6951.0
S3	8146.0	11.0	8157.0
S3	7750.0	12.0	7762.0
S3	6853.0	11.0	6864.0
S3	7246.0	12.0	7258.0
S3	7100.0	12.0	7112.0
S3	7493.0	11.0	7504.0
S3	7374.0	10.0	7384.0
S3	7829.0	11.0	7840.0
S3	7214.0	11.0	7225.0
S3	7166.0	13.0	7179.0
S3	7191.0	11.0	7202.0
S3	7649.0	12.0	7661.0
S3	7069.0	17.0	7086.0
S3	7294.0	13.0	7307.0
S3	7305.0	13.0	7318.0
S3	7632.0	12.0	7644.0
S3	7442.0	11.0	7453.0
S3	7556.0	12.0	7568.0
S3	7708.0	11.0	7719.0
S3	7617.0	12.0	7629.0
S3	7700.0	12.0	7712.0
S3	8442.0	14.0	8456.0
S3	7786.0	13.0	7799.0
S3	7707.0	14.0	7721.0
S3	7660.0	12.0	7672.0
S3	7648.0	12.0	7660.0
S3	7847.0	12.0	7859.0
S3	7857.0	14.0	7871.0
S3	7778.0	14.0	7792.0
S3	8305.0	13.0	8318.0
S3	7891.0	14.0	7905.0
S3	7837.0	15.0	7852.0
S3	7913.0	13.0	7926.0
S3	8214.0	15.0	8229.0
S3	8964.0	13.0	8977.0
S3	8358.0	14.0	8372.0
S3	8179.0	12.0	8191.0
S3	7967.0	13.0	7980.0
S3	8720.0	13.0	8733.0
S3	10010.0	13.0	10023.0
S3	9166.0	12.0	9178.0
S3	9209.0	13.0	9222.0
S3	8045.0	12.0	8057.0
S3	8425.0	14.0	8439.0
S3	8513.0	13.0	8526.0
S3	8361.0	12.0	8373.0
S3	9838.0	13.0	9851.0
S3	9583.0	13.0	9596.0
S3	8727.0	14.0	8741.0
S3	9036.0	14.0	9050.0
S3	8220.0	13.0	8233.0
S3	8110.0	13.0	8123.0
S3	8530.0	14.0	8544.0
S3	8746.0	13.0	8759.0
S3	9063.0	16.0	9079.0
S3	8452.0	16.0	8468.0
S3	9233.0	17.0	9250.0
S3	8495.0	13.0	8508.0
S3	8752.0	13.0	8765.0
S3	8859.0	18.0	8877.0
S3	8594.0	14.0	8608.0
S3	9184.0	14.0	9198.0
S3	9140.0	14.0	9154.0
S3	10123.0	15.0	10138.0
S3	10664.0	13.0	10677.0
S3	9622.0	14.0	9636.0
S3	9105.0	14.0	9119.0
S3	9034.0	14.0	9048.0
S3	8846.0	14.0	8860.0
S3	9522.0	18.0	9540.0
S3	9086.0	15.0	9101.0
S3	9340.0	18.0	9358.0
S3	9508.0	13.0	9521.0
S3	9816.0	13.0	9829.0
S3	9167.0	12.0	9179.0
S3	9523.0	17.0	9540.0
S3	9426.0	14.0	9440.0
S3	9590.0	14.0	9604.0
S3	9462.0	15.0	9477.0
S3	9697.0	15.0	9712.0
S3	9641.0	16.0	9657.0
S3	9442.0	14.0	9456.0
S3	9575.0	14.0	9589.0
S3	9514.0	15.0	9529.0
