13:54:17.295 [main] DEBUG o.s.nativelib.NativeLibraryUtil - processor is INTEL_64 os.arch is amd64
13:54:17.298 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:54:17.299 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:54:17.299 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
13:54:17.299 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libecelgamal-jni-wrapper.so
13:54:17.299 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
13:54:17.299 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
13:54:17.300 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so' to '/tmp/libecelgamal-jni-wrapper6306931802649447315.so'
13:54:17.868 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:54:17.868 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
13:54:17.868 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
13:54:17.868 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libore-jni-wrapper.so
13:54:17.869 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
13:54:17.869 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
13:54:17.869 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so' to '/tmp/libore-jni-wrapper246782272146264136.so'
Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	7.42	0.14	1.58	9.14
TimeCrypt Baseline	0.93	0.09	0.05	1.06
TimeCrypt Baseline	0.88	0.09	0.07	1.04
TimeCrypt Baseline	0.90	0.10	0.08	1.08
TimeCrypt Baseline	0.91	0.16	0.11	1.18
TimeCrypt Baseline	0.97	0.17	0.11	1.25
TimeCrypt Baseline	0.93	0.18	0.12	1.24
TimeCrypt Baseline	0.92	0.21	0.13	1.26
TimeCrypt Baseline	0.96	0.23	0.13	1.32
TimeCrypt Baseline	0.99	0.26	0.13	1.39
TimeCrypt Baseline	0.94	0.26	0.17	1.37
TimeCrypt Baseline	1.01	0.28	0.12	1.42
TimeCrypt Baseline	9.04	0.30	0.16	9.49
TimeCrypt Baseline	0.97	0.33	0.15	1.44
TimeCrypt Baseline	12.69	0.36	0.13	13.18
TimeCrypt Baseline	6.16	0.35	0.14	6.64
TimeCrypt Baseline	0.99	0.37	0.12	1.48
TimeCrypt Baseline	5.77	0.38	0.12	6.27
TimeCrypt Baseline	7.44	0.39	0.12	7.95
TimeCrypt Baseline	1.10	0.49	0.13	1.72
TimeCrypt Baseline	0.99	0.50	0.12	1.61
TimeCrypt Baseline	0.97	0.28	0.12	1.37
TimeCrypt Baseline	1.07	0.34	0.15	1.57
TimeCrypt Baseline	14.64	0.34	0.12	15.10
TimeCrypt Baseline	1.77	0.31	0.10	2.18
TimeCrypt Baseline	1.69	0.29	0.09	2.08
TimeCrypt Baseline	1.76	0.32	0.08	2.17
TimeCrypt Baseline	8.88	1.35	0.11	10.34
TimeCrypt Baseline	1.76	0.30	0.09	2.14
TimeCrypt Baseline	1.71	8.71	2.14	12.57
TimeCrypt Baseline	1.02	0.55	0.10	1.66
TimeCrypt Baseline	2.96	0.70	0.11	3.76
TimeCrypt Baseline	1.35	0.32	0.10	1.77
TimeCrypt Baseline	0.98	0.38	0.10	1.46
TimeCrypt Baseline	0.95	0.35	0.10	1.40
TimeCrypt Baseline	0.97	0.44	0.16	1.58
TimeCrypt Baseline	0.96	0.35	0.11	1.41
TimeCrypt Baseline	1.03	0.46	0.15	1.64
TimeCrypt Baseline	0.98	0.37	0.13	1.49
TimeCrypt Baseline	0.99	0.41	0.14	1.54
TimeCrypt Baseline	1.09	0.46	0.14	1.69
TimeCrypt Baseline	1.03	0.46	0.14	1.63
TimeCrypt Baseline	1.10	0.41	0.15	1.66
TimeCrypt Baseline	0.98	0.45	0.12	1.55
TimeCrypt Baseline	0.98	0.46	0.12	1.55
TimeCrypt Baseline	0.99	0.41	0.12	1.53
TimeCrypt Baseline	1.07	0.49	0.14	1.70
