14:40:34.433 [main] DEBUG o.s.nativelib.NativeLibraryUtil - processor is INTEL_64 os.arch is amd64
14:40:34.435 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
14:40:34.444 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
14:40:34.444 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
14:40:34.444 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libecelgamal-jni-wrapper.so
14:40:34.444 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
14:40:34.445 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
14:40:34.445 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so' to '/tmp/libecelgamal-jni-wrapper3498995838174502379.so'
14:40:34.996 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
14:40:34.996 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
14:40:34.996 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
14:40:34.996 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libore-jni-wrapper.so
14:40:34.996 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
14:40:34.996 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
14:40:34.996 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so' to '/tmp/libore-jni-wrapper8147984914930239508.so'
Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	13.63	0.21	1.62	15.46
TimeCrypt Baseline	1.13	0.12	0.05	1.30
TimeCrypt Baseline	1.04	0.08	0.07	1.19
TimeCrypt Baseline	1.01	0.11	0.08	1.19
TimeCrypt Baseline	9.53	0.15	0.10	9.78
TimeCrypt Baseline	1.02	0.15	0.08	1.24
TimeCrypt Baseline	3.43	0.17	0.11	3.71
TimeCrypt Baseline	1.25	0.18	0.13	1.56
TimeCrypt Baseline	1.07	0.25	0.11	1.43
TimeCrypt Baseline	1.05	0.67	6.71	8.43
TimeCrypt Baseline	1.10	0.75	0.17	2.01
TimeCrypt Baseline	1.17	0.28	0.08	1.53
TimeCrypt Baseline	1.06	0.72	0.09	1.87
TimeCrypt Baseline	1.08	14.47	0.11	15.66
TimeCrypt Baseline	1.15	0.28	0.08	1.51
TimeCrypt Baseline	3.54	0.34	0.10	3.98
TimeCrypt Baseline	1.08	0.32	0.09	1.49
TimeCrypt Baseline	1.07	0.32	0.11	1.50
TimeCrypt Baseline	8.52	0.39	0.11	9.02
TimeCrypt Baseline	1.10	0.32	0.10	1.53
TimeCrypt Baseline	1.10	0.34	0.10	1.55
TimeCrypt Baseline	1.10	0.34	0.12	1.56
TimeCrypt Baseline	1.12	0.37	0.16	1.65
TimeCrypt Baseline	9.15	0.28	0.14	9.57
TimeCrypt Baseline	1.06	0.25	0.14	1.45
TimeCrypt Baseline	1.06	0.25	0.12	1.43
TimeCrypt Baseline	1.06	0.26	0.11	1.43
TimeCrypt Baseline	1.08	0.26	0.09	1.43
TimeCrypt Baseline	8.45	0.28	0.09	8.82
TimeCrypt Baseline	1.06	0.26	0.09	1.42
TimeCrypt Baseline	1.03	0.27	0.09	1.39
TimeCrypt Baseline	1.04	0.35	0.10	1.49
TimeCrypt Baseline	1.06	0.30	0.11	1.47
TimeCrypt Baseline	1.06	8.25	0.11	9.42
TimeCrypt Baseline	1.20	0.25	0.11	1.56
TimeCrypt Baseline	1.08	0.26	0.11	1.44
TimeCrypt Baseline	1.08	0.28	0.11	1.47
TimeCrypt Baseline	1.08	0.27	0.11	1.46
TimeCrypt Baseline	8.76	0.32	0.12	9.20
TimeCrypt Baseline	1.08	0.28	0.12	1.48
TimeCrypt Baseline	1.06	0.29	0.13	1.48
TimeCrypt Baseline	1.08	0.30	0.12	1.51
TimeCrypt Baseline	1.98	0.31	0.13	2.42
TimeCrypt Baseline	9.97	0.33	0.13	10.44
TimeCrypt Baseline	2.01	0.34	0.14	2.49
TimeCrypt Baseline	1.87	0.33	0.13	2.34
TimeCrypt Baseline	6.99	0.35	0.14	7.48
