21:46:25.971 [main] DEBUG o.s.nativelib.NativeLibraryUtil - processor is INTEL_64 os.arch is amd64
21:46:25.974 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
21:46:25.975 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
21:46:25.975 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
21:46:25.975 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libecelgamal-jni-wrapper.so
21:46:25.975 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
21:46:25.983 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so
21:46:25.983 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libecelgamal-jni-wrapper.so' to '/tmp/libecelgamal-jni-wrapper923379542313730328.so'
21:46:26.540 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
21:46:26.540 [main] DEBUG o.s.nativelib.NativeLibraryUtil - architecture is LINUX_64 os.name is linux
21:46:26.540 [main] DEBUG o.s.nativelib.NativeLibraryUtil - platform specific path is META-INF/lib/linux_64/
21:46:26.540 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - mappedLib is libore-jni-wrapper.so
21:46:26.540 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL is jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
21:46:26.540 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - URL path is file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so
21:46:26.541 [main] DEBUG o.scijava.nativelib.BaseJniExtractor - Extracting 'jar:file:/home/ubuntu/solitude/lib/timecrypt.client-0.0.1-SNAPSHOT-jar-with-dependencies.jar!/META-INF/lib/linux_64/libore-jni-wrapper.so' to '/tmp/libore-jni-wrapper7428225450716195294.so'
Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	6.66	0.18	1.53	8.37
TimeCrypt Baseline	1.00	0.08	0.07	1.15
TimeCrypt Baseline	5.26	0.08	1.66	7.01
TimeCrypt Baseline	1.12	0.10	3.37	4.58
TimeCrypt Baseline	2.15	0.12	0.07	2.35
TimeCrypt Baseline	0.87	0.14	0.08	1.09
TimeCrypt Baseline	0.83	0.15	0.09	1.06
TimeCrypt Baseline	1.06	0.17	0.13	1.37
TimeCrypt Baseline	0.87	0.22	0.11	1.21
TimeCrypt Baseline	0.86	0.21	0.10	1.17
TimeCrypt Baseline	0.89	0.65	8.15	9.69
TimeCrypt Baseline	1.01	0.31	0.09	1.41
TimeCrypt Baseline	0.92	0.28	0.09	1.29
TimeCrypt Baseline	0.91	0.28	0.09	1.28
TimeCrypt Baseline	0.93	0.27	0.09	1.29
TimeCrypt Baseline	7.72	0.20	0.10	8.03
TimeCrypt Baseline	1.00	0.24	0.09	1.33
TimeCrypt Baseline	1.03	0.19	0.10	1.32
TimeCrypt Baseline	7.59	0.22	0.12	7.94
TimeCrypt Baseline	0.90	0.20	0.13	1.22
TimeCrypt Baseline	0.87	0.21	0.12	1.20
TimeCrypt Baseline	0.88	0.20	0.10	1.19
TimeCrypt Baseline	0.92	0.21	0.12	1.25
TimeCrypt Baseline	0.90	0.21	0.10	1.21
TimeCrypt Baseline	0.91	0.22	0.10	1.22
TimeCrypt Baseline	8.22	0.23	0.11	8.55
TimeCrypt Baseline	0.95	0.25	0.09	1.29
TimeCrypt Baseline	1.29	0.24	0.09	1.62
TimeCrypt Baseline	0.95	0.27	0.11	1.34
TimeCrypt Baseline	0.92	0.32	0.12	1.36
TimeCrypt Baseline	1.81	0.28	0.11	2.20
TimeCrypt Baseline	1.65	0.28	0.12	2.06
TimeCrypt Baseline	9.79	0.29	0.12	10.21
TimeCrypt Baseline	1.64	0.27	0.12	2.03
TimeCrypt Baseline	1.76	0.28	0.12	2.16
TimeCrypt Baseline	1.64	0.28	0.12	2.05
TimeCrypt Baseline	13.81	0.30	0.13	14.24
TimeCrypt Baseline	1.74	0.32	0.13	2.19
TimeCrypt Baseline	1.76	0.32	0.12	2.20
TimeCrypt Baseline	1.73	0.31	0.11	2.16
TimeCrypt Baseline	1.74	0.32	0.12	2.19
TimeCrypt Baseline	4.91	0.37	0.11	5.39
TimeCrypt Baseline	1.02	0.34	0.11	1.48
TimeCrypt Baseline	0.95	0.35	0.14	1.44
TimeCrypt Baseline	9.75	0.37	0.16	10.29
TimeCrypt Baseline	0.98	0.36	0.12	1.46
TimeCrypt Baseline	0.97	0.48	0.12	1.56
