ping 18.194.1.181 -c 100
PING 18.194.1.181 (18.194.1.181) 56(84) bytes of data.
64 bytes from 18.194.1.181: icmp_seq=1 ttl=63 time=0.621 ms
64 bytes from 18.194.1.181: icmp_seq=2 ttl=63 time=0.602 ms
64 bytes from 18.194.1.181: icmp_seq=3 ttl=63 time=0.615 ms
64 bytes from 18.194.1.181: icmp_seq=4 ttl=63 time=0.613 ms
64 bytes from 18.194.1.181: icmp_seq=5 ttl=63 time=0.600 ms
64 bytes from 18.194.1.181: icmp_seq=6 ttl=63 time=0.605 ms
64 bytes from 18.194.1.181: icmp_seq=7 ttl=63 time=0.603 ms
64 bytes from 18.194.1.181: icmp_seq=8 ttl=63 time=0.617 ms
64 bytes from 18.194.1.181: icmp_seq=9 ttl=63 time=0.609 ms
64 bytes from 18.194.1.181: icmp_seq=10 ttl=63 time=0.603 ms
64 bytes from 18.194.1.181: icmp_seq=11 ttl=63 time=0.606 ms
64 bytes from 18.194.1.181: icmp_seq=12 ttl=63 time=0.607 ms
64 bytes from 18.194.1.181: icmp_seq=13 ttl=63 time=0.614 ms
64 bytes from 18.194.1.181: icmp_seq=14 ttl=63 time=0.635 ms
64 bytes from 18.194.1.181: icmp_seq=15 ttl=63 time=0.619 ms
64 bytes from 18.194.1.181: icmp_seq=16 ttl=63 time=0.652 ms
64 bytes from 18.194.1.181: icmp_seq=17 ttl=63 time=0.607 ms
64 bytes from 18.194.1.181: icmp_seq=18 ttl=63 time=0.603 ms
64 bytes from 18.194.1.181: icmp_seq=19 ttl=63 time=0.608 ms
64 bytes from 18.194.1.181: icmp_seq=20 ttl=63 time=0.611 ms
64 bytes from 18.194.1.181: icmp_seq=21 ttl=63 time=0.614 ms
64 bytes from 18.194.1.181: icmp_seq=22 ttl=63 time=0.617 ms
64 bytes from 18.194.1.181: icmp_seq=23 ttl=63 time=0.610 ms
64 bytes from 18.194.1.181: icmp_seq=24 ttl=63 time=0.618 ms
64 bytes from 18.194.1.181: icmp_seq=25 ttl=63 time=0.613 ms
64 bytes from 18.194.1.181: icmp_seq=26 ttl=63 time=0.608 ms
64 bytes from 18.194.1.181: icmp_seq=27 ttl=63 time=0.632 ms
64 bytes from 18.194.1.181: icmp_seq=28 ttl=63 time=0.660 ms
64 bytes from 18.194.1.181: icmp_seq=29 ttl=63 time=0.618 ms
64 bytes from 18.194.1.181: icmp_seq=30 ttl=63 time=0.620 ms
64 bytes from 18.194.1.181: icmp_seq=31 ttl=63 time=0.620 ms
64 bytes from 18.194.1.181: icmp_seq=32 ttl=63 time=0.604 ms
